"MCC","Название","Описание"
"5931","Секонд-хенды, магазины б/у товаров, комиссионки","Точки, которые продают использованные или подержанные товары. Товары для продажи могут включать аксессуары, обувь и одежду, мебель, книги, велосипеды, музыкальные инструменты, швейные машины, электронное оборудование, приборы и другие предметы домашнего обихода. Как правило, предметы для продажи были пожертвованы или отправлены на консигнацию. Такие точки могут или не могут также продавать антиквариат.
Для точек, которые в основном продают антиквариат, используется MCC 5932. 
Для ломбардов используется MCC 5933."
"5932","Антикварные магазины – продажа, ремонт и услуги реставрации","Точки, которые продают антиквариат и могут или не могут также выполнять некоторые ремонтные или реставрационные работы. Товары для продажи могут включать мебель, ювелирные изделия, камеры и фотооборудование, инструменты, произведения искусства, книги, бытовую технику и другие предметы домашнего обихода.
Для точек, продающих старинные автомобили, используется MCC 5521.
Для точек, которые в основном ремонтируют или восстанавливают антикварную мебель, используется MCC 7641."
"5933","Ломбарды","Точки, которые одалживают деньги в обмен на личную собственность, которая остается в точке в качестве обеспечения. Ломбарды могут после невозврата займа продавать собственность широкой публике. Собственность, оставленная в качестве обеспечения, может включать такие предметы, как ювелирные изделия, часы, музыкальные инструменты, велосипеды, мебель, монеты, камеры и фотооборудование."
"5935","Уничтожение и сбор остатков","Точки, которые предоставляют услуги по уничтожению и сбору остатков транспортных средств, оборудования и других предметов. Такие точки могут или не могут предоставлять услуги по доставке и буксировке.
Для точек, которые в основном предоставляют услуги буксировки, используется MCC 7549."
"5937","Магазины репродукций и антиквариата","Точки, которые продают антикварные репродукции или факсимиле - точные копии. Товары для продажи могут включать одежду, мебель, ковры, картины и произведения искусства, зеркала, изделия из стекла, ювелирные изделия и другие предметы домашнего обихода и предметы личной гигиены. Такие точки могут также предоставлять услуги по воспроизведению и восстановлению старинных фонографов.
Для точек, которые продают добросовестный (""bona fide"") антиквариат, используется MCC 5932."
"5940","Веломагазины – продажа и обслуживание","Точки, которые продают велосипеды, детали и аксессуары. Веломагазины могут также продавать ограниченное разнообразие спортивной одежды, а также могут или не могут также проводить ремонтные работы или давать велосипеды в аренду.
Для торговцев, которые в основном ремонтируют велосипеды, используйте MCC 7699. Для торговцев, которые в основном дают велосипеды в аренду, используйте MCC 7999."
"5941","Спорттовары","Торговые точки, торгующие спортивными товарами, спортивным инвентарем и сопутствующими частями и аксессуарами. В продажу могут входить скейтборды, водные лыжи, роликовые коньки, доски для серфинга, оборудование для гольфа, снежные лыжи, виндсерфинг, дайвинг и подводное снаряжение, приманка и снасти, альпинизм, кемпинг, пешеходное и альпинистское снаряжение, оборудование для тренировок, бильярдные столы, теннис оборудование, оборудование и принадлежности для боулинга, оборудование для охоты и снаряжения, оборудование для игровых площадок. Магазины спортивных товаров могут или не могут также проводить ремонтные работы или арендовать спортивное снаряжение.
Для торговцев, которые в основном проводят ремонтные работы, используется MCC 7699.
Для торговцев, которые в основном дают спортивное оборудование в аренду, используется MCC 7999."
"5942","Книжные магазины","Торговые точки, которые продают новые или б/у книги, журналы, учебники, карты и атласы, аудиокниги и календари. Этот MCC также включает в себя религиозные книжные магазины."
"5943","Магазины офисных, школьных принадлежностей, канцтоваров","Торговцы, которые продают различные офисные и школьные принадлежности и бумажные товары. Товары для продажи могут включать в себя ручки, карандаши, календари, настольные органайзеры, степлеры, папки с файлами, бумагу для бумаг, портфели, почтовые ящики, маркеры, компьютерные дискеты, чернильные картриджи для компьютерных принтеров, ограниченный набор программного обеспечения для компьютеров и малое офисное оборудование, такое как офисные шкафы, стулья, мусорные корзины и настольные лампы. Такие торговые точки дополнительно продают большое или дорогостоящее офисное оборудование, такое как компьютеры или настольные компьютеры.
Для торговых точек, которые в основном продают компьютерное оборудование, используется MCC 5732.
Для торговых точек, которые в основном продают компьютерное программное обеспечение, используется MCC 5734."
"5944","Часы, ювелирные и серебряные изделия","Торговые точки, которые продают часы и ручные часы; драгоценные металлы; мелкие ювелирные изделия, такие как алмазы или другие драгоценные камни, смонтированные в драгоценных металлах; и стерлингового серебра и покрытых столовых приборов и аксессуаров, таких как тарелки, сервировочные чаши, триплеты и кувшины. Такие торговые точки могут также проводить ремонтные работы.
Для торговых точек, которые в основном ремонтируют ювелирные изделия, часы или часы, используется MCC 7699.
Для торговых точек, которые в основном продают фарфор или кристалл, используется MCC 5950."
"5945","Игрушки, игры и хобби-товары","Торговые точки, которые продают игрушки и игры, и могут продавать ограниченный выбор самодельных ремесел или наборов для хобби.
Для торговых точек, которые в основном продают ресурсы, материалы и оборудование, используемые для сборки ремесел, используется MCC 5970."
"5946","Магазины фотооборудования и фотоприборов","Торговые точки, которые специализируются на продаже фотоаппаратов, плёнки, видео и другого фотооборудования и расходных материалов, включая химикаты для обработки и бумагу. Такие торговые точки могут или не могут также предоставлять услуги по обработке фильмов.
Для торговых точек, которые продают камеры и видеооборудование в дополнение к множеству других электронных устройств, таких как видеомагнитофоны, телевизоры и стереосистемы, используется MCC 5732.
Для торговых точек, которые в первую очередь предоставляют услуги по обработке и печати фильмов, используется MCC 7395."
"5947","Магазины открыток, подарков, новинок и сувениров","Торговые точки, которые продают подарки и новинки, поздравительные открытки, воздушные шары, сувениры, праздничные украшения, канцелярские принадлежности, оберточные бумаги и банты, фотоальбомы и ограниченный набор канцелярских принадлежностей, таких как ручки, ноутбуки и календари.
Для торговых точек, которые в основном продают офисные и школьные принадлежности, используется MCC 5943."
"5948","Магазины кожаных изделий, дорожных принадлежностей","Торговцы, которые продают дорожные сумки, сундуки, портфели, кожаные рюкзаки, кошельки, бумажники, перчатки и другие изделия из кожи, и могут продавать ограниченный выбор кожаной одежды."
"5949","Магазины ткани, ниток, рукоделия, шитья","Торговые точки, которые продают ткани, выкройки, пряжу и другие материалы для шитья и рукоделия такие как нитки, пуговицы, заклепки, подкладочная ткань, шнурки, отделки, ножницы, кружева и застежки-молнии. Такие торговые точки могут также предлагать консультации по шитью.
Для торговых точек, которые прежде всего предлагают инструкции по шитью и вязанию, используется МСС 8299."
"5950","Магазины хрусталя и изделий из стекла","Торговые точки, которые продают посуду, фарфор и хрусталь для сервировки стола (например, бокалы с вином и шампанским, сервировочные чаши и тарелки), а также подарочные изделия (например, статуэтки, подставки для книг, цветочные вазы, шкатулки для драгоценностей и подсвечники)."
"5960","Прямой маркетинг – страховые услуги","Торговые точки, которые продают страховые услуги через прямую почтовую рассылку, накладные выписки по счетам, а также журналы или телевизионные объявления, все из которых включают либо бесплатный номер телефона, либо адрес или веб-сайт, на который потенциальные клиенты могут ответить. Предлагаемые страховые услуги могут включать все формы страхования жизни, страхование от страхового возмещения (дополнительное покрытие, обычно оплачиваемое непосредственно потребителю), страхование от случайной смерти и разделения, страхование по кредитным картам, в которых непогашенный остаток застрахован от смерти, инвалидности или страхования по безработице, и медицинская страховка для путешественников. Продажи могут быть нацелены на специальные группы, такие как ветераны, пенсионеры, школьные учителя или члены определенных организаций. Биллинг страховых премий обычно происходит в периодических (ежемесячных, ежеквартальных или годовых) взносах и продолжается до тех пор, пока не будет отменен держателем карты или страховой компанией. Еще одна общая особенность - бесплатный пробный период в 60 или 90 дней с выставлением счета первой партии после окончания пробного периода.
Для личных услуг по страхованию и гарантированию используется MCC 6300."
"5961","Заказы по почте, включая заказы по каталогу","MCC отсутствует в справочниках, найдено в справочниках SIC кодов"
"5962","Прямой маркетинг – услуги, относящиеся к туризму","Торговые точки, которые продают услуги по организации поездок с помощью исходящего телемаркетинга, в которых продавец начинает контактировать с потребителем посредством прямой почты, рекламы или других методов прямого маркетинга, требующих ответа потребителей, в попытке произвести продажу. Также включены дисконтные туристические клубы и подписные услуги или информационные бюллетени, из которых подписчики выбирают расфасованные поездки; для них часто требуется ежегодный членский взнос, который может быть выставлен счету держателя карты каждый год, пока он не будет отменен владельцем карты или торговцем.
Для турагентов и туроператоров используется MCC 4722."
"5963","Продажа ""от двери до двери""","Продавцы, которые продают товары ""от двери до двери"" или из грузовых автомобилей или вагонов или других временных мест. Товары, продаваемые от двери до двери, могут включать косметику, предметы домашнего обихода, хлебобулочные изделия, молочные продукты и подписки на журналы."
"5964","Прямой маркетинг – торговля по каталогам","Торговые точки, которые инициируют прямой контакт с потребителями и часто описываются как дома заказов по почте или как индустрия ""товары почтой"". Такие торговые точки предлагают свои товары через каталоги и принимают заказы на товары исключительно по электронной почте, телефону, факсу, электронной торговле или другим методам, не предусматривающих личный контакт. Бумажный каталог - это многостраничный документ, который отправляется по почте, факсом и т.п. непосредственно потребителю. Электронный каталог отображает товар через кабельное телевидение или видеотекст на интернет-сайте. Каталоги отображают и описывают товар и включают в себя форму заказа по почте, номер телефона или адрес интернет-сайта для размещения заказов.
Листовки и брошюры не считаются каталогами.
Производитель с прайс-листом не считается продавцом по каталогу."
"5965","Прямой маркетинг – комбинированный каталог и розничные продавцы","Продавцы, которые также работают с одним или несколькими розничными точками. Этот MCC используется только для транзакций, происходящих по почте, телефону, электронной коммерции или другим не предусматривающим личного контакта с покупателем, даже если товар доставляется в магазин для самовывоза.
В этом MCC исключаются личные продажи, в том числе те, в которых заказ помещен на стол каталога или где-либо еще в магазине в ответ на каталог или другое сообщение прямых продаж.
Все розничные продажи должны проходить с соответствующим розничным MCC."
"5966","Прямой маркетинг - исходящий телемаркетинг","Торговцы, которые инициируют прямые контакты с потребителями для продажи товаров и услуг. Поставщики исходящих телемаркетингов связываются (а иногда и стимулируют) с потенциальным покупателем по телефону, рекламе, прямой почте (кроме каталога) или другому методу прямого маркетинга, который включает либо бесплатный номер телефона, либо почтовый адрес. Товары, рекламируемые и продаваемые с помощью таких методов, могут включать косметику, продукты медицинского назначения, витамины и недвижимость с долевым сроком.
Для благотворительных организаций, которые запрашивают взносы любыми способами, в том числе через исходящий телемаркетинг, используется MCC 8398."
"5967","Прямой маркетинг – входящий телемаркетинг","Торговцы, которые предоставляют одну или несколько служб аудиотекста или видеотекста, к которым можно получить доступ по телефону, факсу или по Интернету. Владелец карты инициирует контакт с торговцем и все последующие транзакции. Этот MCC применяется к информационным услугам, предлагаемым по телефону или в Интернете, а также к товарам, которые могут быть проданы через такие службы. Информационные услуги предоставляются за вознаграждение и могут включать в себя опросы, лотереи, чаты для взрослых и развлечения, спортивные результаты, котировки на фондовом рынке, показания гороскопа или другие аудиотексты или видеотексты, которые потребители слушают, просматривают или участвуют в них.
Для поставщиков электронного доступа к доске объявлений или онлайн-сервисам, предоставляемым через компьютеры, используется MCC 4816."
"5968","Прямой маркетинг – Продажа по подписке","Точки, которые продают продукты или услуги по подписке через прямую почтовую рассылку, телефон, интернет или другой метод прямого маркетинга, который включает в себя бесплатный номер, почтовый адрес, адрес электронной почты или URL-адрес веб-сайта. Такие точки могут предлагать серии продуктов (например, одну книгу в месяц на один год) или ежегодное обновление одного продукта. Счет владельцу карты выставляется за продукт или услугу на постоянной или периодической основе (например, один раз в месяц или два раза в год), а предоставление продукта или услуги продолжается до тех пор, пока не закончится подписка или серия, или владелец карты или продавец не расторгнет соглашение. Этот MCC включает в себя книжные клубы, подписку на журналы и газеты, аудиоклубы, продающие записи, кассеты и компакт-диски (CD), клубы с видеокассетами и цифровыми видеодисками (DVD), подписки на коллекционные серии (например, серии марок, монет, книг, таблички, фарфоровые рисунки или тарелки), подписки на журналы, подписки на продукты для здоровья, подписки на косметику, подписки на витамины."
"5969","Прямой маркетинг – другие торговые точки прямого маркетинга (нигде более не классифицированные)","Торговые точки, которые продают товары и услуги с помощью различных методов прямого ответа, в которых включена форма заказа или адрес или номер телефона для размещения заказа по почте, телефону или факсу. Эти торговцы часто используют методы массового маркетинга, такие как брошюры, объявления с прямым ответом на радио и телевидении, а также телевизионные «рекламные ролики» (рекламные ролики с расширенной длиной с форматом ток-шоу). Такие торговцы обычно предлагают только один или два продукта на рекламу, такие как кухонные столовые приборы, бытовые гаджеты, товары для снижения веса, спортивное оборудование, косметику, специальные записи или книги, которые доступны только через телевизионную рекламу. Это включает рекламу в газетах, продаваемую по методам прямого маркетинга.
Для билетов, заказанных по телефону, но оплаченных в билетной кассе, используется MCC 7922.
Исключаются розничные торговцы лицом к лицу, которые иногда принимают заказы на почту или телефон для удобства клиентов.
Для розничных продаж, проводимых через интернет-сайт, используется наиболее подходящий розничный MCC с TCC T."
"5970","Магазины художественных и ремесляных изделий","Розничные торговцы которые продают материалы, оборудование, и  т.п., которое используется для создания художественных и ремесляных  изделий и т.п. вещей. Товары для распродажи  могут включать  все типы картин (живописи), краски, шелковые цветы, ручки, карандаши, бумагу, конструкторы для сборки, пряжу, штуковины для изготовления конфет, декоративные резиновые штампы, и.т.п. вещи. Для торговцев которые специализируются на продаже  ткани, выкроек, принадлежностей  для шитья, используют МСС 5949."
"5971","Галереи и художественные посредники","Розничные торговцы, которые продают  художественные работы, такие как картины, фотографии, скульптуры. Распродажа может проводиться  прямо с посредниками, художниками, в галереях."
"5972","Магазины монет и марок (филателические и нумизматические)","Розничные торговцы, которые продают почтовые марки, монеты и подобные аксессуары для коллекций или сбережений. 
Для распродажи почтовых марок (почта США), используется МСС 9402.
Для почты и почтовых услуг, которые тоже используют почтовые марки, используется МСС 7399."
"5973","Магазины религиозных товаров","Розничные торговые точки, которые продают такие товары как статуэтки, открытки, религиозные штучки, иконы, картины, книги и кассеты,  декоративные  вещи. 
Для торговых точек, которые первоначально продают религиозные книги, используют МСС 5942."
"5975","Слуховые аппараты – продажа, сервис, снабжение","Розничные торговые точки, которые продают слуховые аппараты и связанные с ними материалы, а также могут или не могут также проводить ремонтные работы.
Для точек, которые в основном проводят ремонтные работы, используйте MCC 7699."
"5976","Ортопедические товары","Розничные торговые точки, которые продают различные ортопедические товары, протезы и которые также могут заниматься их починкой. Товары для продажи могут включать костыли, палочки и др. вспомогательные детали для передвижения, эластичный трикотаж, абдоминальные поддержатели, обвязки, растяжки, инвалидные коляски, и т.п. 
Для торговых точек, которые первоначально занимаются починкой подобных товаров, используется МСС 7699."
"5977","Магазины косметики","Розничные торговые точки, которые продают натуральную или синтетическую косметику, в том числе театральный грим, медицинскую и повседневную косметику."
"5978","Магазины печатающих устройств – аренда, продажа, услуги","Розничные торговые точки, которые продают, сдают в аренду, разные печатающие устройства. Такие торговые точки могут также продавать ограниченный выбор офисных принадлежностей, канцтоваров, и могут проводить или не проводить починные работы. 
Для точек, которые в основном занимаются починкой подобных товаров, используется МСС 7699."
"5983","Поставщики топлива – уголь, мазут, сжиженная нефть, древесина","Розничные торговые точки, которые продают мазут, древесину, уголь, сжиженную нефть, авиационное топливо, топочный мазут или газ-пропан. Такие точки могут или не могут продавать бензин для потребительского использования в автомобилях.
Для точек, которые в основном продают автомобильный бензин, используется MCC 5541 или MCC 5542, если это необходимо."
"5992","Флористика","Розничные торговые точки, которые продают обрезанные цветы, всякие цветочные приспособления, саженцы. Такие торговые точки могут  или не могут также продавать разные товары типа гелиумных воздушных шаров. Для торговцев, продающих первоначально семена, шары, парники, инвентарь, используют МСС 5261."
"5993","Табачные магазины","Розничные торговые точки, которые продают табак, сигареты, сигары, трубки и все курительные аксессуары."
"5994","Дилеры по продаже печатной продукции","Розничные торговые точки, которые продают газеты, журналы и другую периодику. 
Для подписки на газеты используется МСС 5968."
"5995","Зоомагазины","Розничные торговые точки, которые продают домашних питомцев (собачки, кошки, птички, рыбки, рептилии, хомячки, кролики), еду для них и все связанные с ними аксессуары."
"5996","Плавательные бассейны – продажа и снабжение","Розничные торговые точки, которые продают домашние бассейны (наземные или сборные надземные бассейны), курорты, гидромассажные ванны, гидромассажные ванны и принадлежности для бассейна. Такие точки могут или не могут также предоставлять услуги по установке и техническому обслуживанию.
Для точек, которые в первую очередь предоставляют услуги по установке, используется MCC 1799. Эти торговцы также могут или не могут предоставлять услуги по ремонту.
Для точек, которые в первую очередь предоставляют услуги по ремонту, используется MCC 7699."
"5997","Магазины электрических бритвенных принадлежностей – распродажа и услуги.","Розничные торговые точки, которые продают электрические бритвенные принадлежности, которые также могут или не могут предоставлять услуги по ремонту. 
Для торговых точек, которые изначально обеспечивают услугами по ремонту, используют МСС 7699."
"5998","Магазины палаток и навесов","Розничные точки, которые продают палатки и навесы для дома или бизнеса. Товары для продажи могут включать палатки для кемпинга, тентовые палатки и преднастроенные или изготовленные на заказ оконные или дверные тенты для дома или бизнеса. Такие точки могут или не могут также оказывать услуги по ремонту.
Для точек, которые в первую очередь предоставляют услуги по ремонту, используется MCC 7699."
"5999","Различные магазины и специальные розничные магазины","Розничные торговые точки, которые продают уникальные или специализированные товары, которые не попадают ни под какое МСС описание. Этот МСС код должен быть использован только когда этот товар не подходит под другие МСС. Примерами могут послужить специальные магазины, которые торгуют картами и атласами, льдом, дистиллированной водой, аксессуары для магии, вечеринок, красоты, и т.п. вещи."
"6010","Финансовые учреждения – выдача наличных в кассе","Используется для определения транзакций лично, когда владелец карты использует карту в кассе, чтобы получить наличные.

Для получение денежных средств в автоматических устройствах, типа банкоматов, используется МСС 6011."
"6011","Финансовые учреждения – снятие наличных автоматически","Используется для определения операций выдачи наличных денежных средств и нефинансовых операции в банкоматах клиентов международных платежных систем.

Для снятий наличных, совершаемых в кассе финансовых учреждений, используется MCC 6010."
"6012","Финансовые учреждения – торговля и услуги","Покупка товаров или услуг в финансовых учреждениях. Такими товарами и услугами могут быть чеки и другие финансовые продукты, рекламные товары, сборы за предоставление кредита и плата за услуги финансового консультирования, пополнение счета преодоплаченных карт. По документам Visa этот MCC также должен использоваться для погашения долгов, займов или остатка по кредитной карте держателем карты в финансовом учреждении. Также этот MCC используется при оплате услуг микрофинансовых организаций.

Для оплаты услуг по ценным бумагам и брокерским операциям или других соответствующих расходов используется MCC 6211.

Для денежных выплат используется MCC 6010 для очных операций и MCC 6011 для транзакций, которые происходят в банкоматах."
"6022","Financial Institution (RCL Internal)","Описание не найдено. Скорее всего внутренний код какой-то организации, но есть в списках исключений некоторых банков."
"6023","State Banks (RCL Internal)","Описания не найдено. Скорее всего внутренний код какой-то организации, но есть в списках исключений некоторых банков."
"6025","National Banks (RCL Internal)","Описание не найдено. Скорее всего внутренний код какой-то организации, но есть в списках исключений некоторых банков."
"6026","National Banks Non Federal (RCL Internal)","Описание не найдено. Скорее всего внутренний код какой-то организации, но есть в списках исключений некоторых банков."
"6028","Unincorporated Private Banks (RCL Internal)","Описание не найдено. Скорее всего внутренний код какой-то организации, но есть в списках исключений некоторых банков."
"6050","Квази-Кэш – Финансовые учреждения","Покупка чеков, иностранной валюты, пополнение электронных кошельков и другие квази-кэш операции в финансовых учреждениях"
"6051","Квази-Кэш – Нефинансовые учреждения","Покупка чеков, иностранной валюты, пополнение электронных кошельков, торговых счетов и другие квази-кэш операции в нефинансовых учреждениях"
"6211","Услуги брокеров на рынке ценных бумаг","Точки, которые покупают и продают ценные бумаги, акции, облигации, товары и фонды"
"6300","Услуги страховых компаний","Розничные торговые точки, которые продают все виды личных или коммерческих страховых полисов, включая страхование автомобилей, жизни, здоровья, прав собственности на недвижимость, медицинские и стоматологические страховки, страхование для домовладельцев и арендаторов, страхование здоровья домашних животных, страхование от наводнений, пожаров или землетрясений.

Для точек, которые продают страховые продукты и услуги с использованием методов прямого маркетинга, используется MCC 5960."
"6381","Страховые премии","В справочниках платёжных систем не найдено, но есть в исключениях некоторых банков. По некоторым данным код уже не используется."
"6399","Страхование – нигде более не классифицированные","По некоторым данным код не используется"
"6513","Агенты недвижимости и менеджеры - Аренда","Сборы, взимаемые точками, занимающихся арендой и управлением жилой и коммерческой недвижимостью, такими как агенты по недвижимости, брокеры и менеджеры, а также услуги по аренде квартир. Такие сборы могут включать плату за управление, комиссионные за аренду недвижимости и платежи за аренду недвижимости."
